Trial,Judgment
t1_a3b1c3_(0 0 0)_0,0.00333333
t1_a3b1c3_(0 0 0)_0,0.0
t1_a3b1c3_(0 0 0)_0,0.51
t1_a3b1c3_(0 0 0)_0,0.142267
t1_a3b1c3_(0 0 0)_0,0.0
t1_a3b1c3_(0 0 0)_0,0.0
t1_a3b1c3_(0 0 0)_0,0.0733333
t1_a3b1c3_(0 0 0)_0,0.02
t1_a3b1c3_(0 0 0)_0,0.0688889
t1_a3b1c3_(0 0 0)_0,0.11
t1_a3b1c3_(0 0 0)_0,0.113333
t1_a3b1c3_(0 0 0)_0,0.0666667
t1_a3b1c3_(0 0 0)_0,0.143333
t1_a3b1c3_(0 0 0)_0,0.835
t1_a3b1c3_(0 0 0)_0,0.183333
t1_a3b1c3_(0 0 0)_0,0.0
t1_a3b1c3_(0 0 0)_0,0.0883333
t1_a3b1c3_(0 0 0)_0,0.0
t1_a3b1c3_(0 0 0)_0,0.4
t1_a3b1c3_(0 0 0)_1,0.993333
t1_a3b1c3_(0 0 0)_1,1.0
t1_a3b1c3_(0 0 0)_1,1.0
t1_a3b1c3_(0 0 0)_1,0.838933
t1_a3b1c3_(0 0 0)_1,1.0
t1_a3b1c3_(0 0 0)_1,0.996667
t1_a3b1c3_(0 0 0)_1,0.863333
t1_a3b1c3_(0 0 0)_1,0.983333
t1_a3b1c3_(0 0 0)_1,1.0
t1_a3b1c3_(0 0 0)_1,0.89
t1_a3b1c3_(0 0 0)_1,0.796667
t1_a3b1c3_(0 0 0)_1,0.916667
t1_a3b1c3_(0 0 0)_1,0.84
t1_a3b1c3_(0 0 0)_1,0.658333
t1_a3b1c3_(0 0 0)_1,0.813333
t1_a3b1c3_(0 0 0)_1,1.0
t1_a3b1c3_(0 0 0)_1,0.977222
t1_a3b1c3_(0 0 0)_1,1.0
t1_a3b1c3_(0 0 0)_1,0.653333
t1_a3b1c3_(0 0 0)_2,0.0166667
t1_a3b1c3_(0 0 0)_2,0.0
t1_a3b1c3_(0 0 0)_2,0.503333
t1_a3b1c3_(0 0 0)_2,0.1756
t1_a3b1c3_(0 0 0)_2,0.0
t1_a3b1c3_(0 0 0)_2,0.0133333
t1_a3b1c3_(0 0 0)_2,0.07
t1_a3b1c3_(0 0 0)_2,0.0166667
t1_a3b1c3_(0 0 0)_2,0.088889
t1_a3b1c3_(0 0 0)_2,0.0466667
t1_a3b1c3_(0 0 0)_2,0.19
t1_a3b1c3_(0 0 0)_2,0.0933333
t1_a3b1c3_(0 0 0)_2,0.28
t1_a3b1c3_(0 0 0)_2,0.285
t1_a3b1c3_(0 0 0)_2,0.206667
t1_a3b1c3_(0 0 0)_2,0.0
t1_a3b1c3_(0 0 0)_2,0.0894444
t1_a3b1c3_(0 0 0)_2,0.0
t1_a3b1c3_(0 0 0)_2,0.43
t2_a2b2c1_(1 1 0)_0,0.08
t2_a2b2c1_(1 1 0)_0,0.7
t2_a2b2c1_(1 1 0)_0,0.523333
t2_a2b2c1_(1 1 0)_0,0.486667
t2_a2b2c1_(1 1 0)_0,0.673333
t2_a2b2c1_(1 1 0)_0,0.297033
t2_a2b2c1_(1 1 0)_0,0.626667
t2_a2b2c1_(1 1 0)_0,0.166667
t2_a2b2c1_(1 1 0)_0,0.281667
t2_a2b2c1_(1 1 0)_0,0.236667
t2_a2b2c1_(1 1 0)_0,0.72
t2_a2b2c1_(1 1 0)_0,0.8056
t2_a2b2c1_(1 1 0)_0,0.296667
t2_a2b2c1_(1 1 0)_0,0.723333
t2_a2b2c1_(1 1 0)_0,0.622111
t2_a2b2c1_(1 1 0)_0,0.36
t2_a2b2c1_(1 1 0)_0,0.0
t2_a2b2c1_(1 1 0)_1,0.09
t2_a2b2c1_(1 1 0)_1,0.66
t2_a2b2c1_(1 1 0)_1,0.55
t2_a2b2c1_(1 1 0)_1,0.496667
t2_a2b2c1_(1 1 0)_1,0.64
t2_a2b2c1_(1 1 0)_1,0.487033
t2_a2b2c1_(1 1 0)_1,0.71
t2_a2b2c1_(1 1 0)_1,0.166667
t2_a2b2c1_(1 1 0)_1,0.285
t2_a2b2c1_(1 1 0)_1,0.26
t2_a2b2c1_(1 1 0)_1,0.73
t2_a2b2c1_(1 1 0)_1,0.732267
t2_a2b2c1_(1 1 0)_1,0.436667
t2_a2b2c1_(1 1 0)_1,0.796667
t2_a2b2c1_(1 1 0)_1,0.625444
t2_a2b2c1_(1 1 0)_1,0.273333
t2_a2b2c1_(1 1 0)_1,0.0
t2_a2b2c1_(1 1 0)_2,0.133333
t2_a2b2c1_(1 1 0)_2,0.03
t2_a2b2c1_(1 1 0)_2,0.0
t2_a2b2c1_(1 1 0)_2,0.0
t2_a2b2c1_(1 1 0)_2,0.0
t2_a2b2c1_(1 1 0)_2,0.0
t2_a2b2c1_(1 1 0)_2,0.0233333
t2_a2b2c1_(1 1 0)_2,0.13
t2_a2b2c1_(1 1 0)_2,0.0
t2_a2b2c1_(1 1 0)_2,0.196667
t2_a2b2c1_(1 1 0)_2,0.133333
t2_a2b2c1_(1 1 0)_2,0.238933
t2_a2b2c1_(1 1 0)_2,0.223333
t2_a2b2c1_(1 1 0)_2,0.116667
t2_a2b2c1_(1 1 0)_2,0.312111
t2_a2b2c1_(1 1 0)_2,0.696667
t2_a2b2c1_(1 1 0)_2,0.0127777
t3_a3b3c1_(1 1 0)_0,0.24
t3_a3b3c1_(1 1 0)_0,0.0
t3_a3b3c1_(1 1 0)_0,0.0956
t3_a3b3c1_(1 1 0)_0,0.526667
t3_a3b3c1_(1 1 0)_0,0.706667
t3_a3b3c1_(1 1 0)_0,0.113889
t3_a3b3c1_(1 1 0)_0,0.315
t3_a3b3c1_(1 1 0)_0,0.86
t3_a3b3c1_(1 1 0)_0,0.728933
t3_a3b3c1_(1 1 0)_0,0.392222
t3_a3b3c1_(1 1 0)_0,0.545
t3_a3b3c1_(1 1 0)_0,0.233333
t3_a3b3c1_(1 1 0)_0,0.496667
t3_a3b3c1_(1 1 0)_0,0.72
t3_a3b3c1_(1 1 0)_0,0.0233333
t3_a3b3c1_(1 1 0)_0,0.736667
t3_a3b3c1_(1 1 0)_0,0.505
t3_a3b3c1_(1 1 0)_0,0.0
t3_a3b3c1_(1 1 0)_0,0.763333
t3_a3b3c1_(1 1 0)_1,0.21
t3_a3b3c1_(1 1 0)_1,0.0
t3_a3b3c1_(1 1 0)_1,0.832267
t3_a3b3c1_(1 1 0)_1,0.546667
t3_a3b3c1_(1 1 0)_1,0.696667
t3_a3b3c1_(1 1 0)_1,0.863889
t3_a3b3c1_(1 1 0)_1,0.298333
t3_a3b3c1_(1 1 0)_1,0.886667
t3_a3b3c1_(1 1 0)_1,0.7256
t3_a3b3c1_(1 1 0)_1,0.385556
t3_a3b3c1_(1 1 0)_1,0.541667
t3_a3b3c1_(1 1 0)_1,0.256667
t3_a3b3c1_(1 1 0)_1,0.0
t3_a3b3c1_(1 1 0)_1,0.733333
t3_a3b3c1_(1 1 0)_1,0.01
t3_a3b3c1_(1 1 0)_1,0.726667
t3_a3b3c1_(1 1 0)_1,0.488333
t3_a3b3c1_(1 1 0)_1,1.0
t3_a3b3c1_(1 1 0)_1,0.696667
t3_a3b3c1_(1 1 0)_2,0.0
t3_a3b3c1_(1 1 0)_2,0.0
t3_a3b3c1_(1 1 0)_2,0.832267
t3_a3b3c1_(1 1 0)_2,0.0
t3_a3b3c1_(1 1 0)_2,0.15
t3_a3b3c1_(1 1 0)_2,0.147222
t3_a3b3c1_(1 1 0)_2,0.0
t3_a3b3c1_(1 1 0)_2,0.51
t3_a3b3c1_(1 1 0)_2,0.232267
t3_a3b3c1_(1 1 0)_2,0.142222
t3_a3b3c1_(1 1 0)_2,0.035
t3_a3b3c1_(1 1 0)_2,0.196667
t3_a3b3c1_(1 1 0)_2,0.0
t3_a3b3c1_(1 1 0)_2,0.106667
t3_a3b3c1_(1 1 0)_2,0.0333333
t3_a3b3c1_(1 1 0)_2,0.0833333
t3_a3b3c1_(1 1 0)_2,0.025
t3_a3b3c1_(1 1 0)_2,0.989444
t3_a3b3c1_(1 1 0)_2,0.213333
t3_a2b2c3_(0 0 0)_0,0.205
t3_a2b2c3_(0 0 0)_0,0.516667
t3_a2b2c3_(0 0 0)_0,0.0
t3_a2b2c3_(0 0 0)_0,0.0
t3_a2b2c3_(0 0 0)_0,0.146667
t3_a2b2c3_(0 0 0)_0,0.0872222
t3_a2b2c3_(0 0 0)_0,0.21
t3_a2b2c3_(0 0 0)_0,0.886667
t3_a2b2c3_(0 0 0)_0,0.0
t3_a2b2c3_(0 0 0)_0,0.0933333
t3_a2b2c3_(0 0 0)_0,0.108889
t3_a2b2c3_(0 0 0)_0,0.1
t3_a2b2c3_(0 0 0)_0,0.593333
t3_a2b2c3_(0 0 0)_0,0.368778
t3_a2b2c3_(0 0 0)_0,0.62
t3_a2b2c3_(0 0 0)_0,0.0
t3_a2b2c3_(0 0 0)_0,0.0316667
t3_a2b2c3_(0 0 0)_0,0.42
t3_a2b2c3_(0 0 0)_1,0.115
t3_a2b2c3_(0 0 0)_1,0.533333
t3_a2b2c3_(0 0 0)_1,0.0
t3_a2b2c3_(0 0 0)_1,0.0
t3_a2b2c3_(0 0 0)_1,0.176667
t3_a2b2c3_(0 0 0)_1,0.0505556
t3_a2b2c3_(0 0 0)_1,0.206667
t3_a2b2c3_(0 0 0)_1,0.953333
t3_a2b2c3_(0 0 0)_1,0.0
t3_a2b2c3_(0 0 0)_1,0.0633333
t3_a2b2c3_(0 0 0)_1,0.108889
t3_a2b2c3_(0 0 0)_1,0.113333
t3_a2b2c3_(0 0 0)_1,0.606667
t3_a2b2c3_(0 0 0)_1,0.322111
t3_a2b2c3_(0 0 0)_1,0.566667
t3_a2b2c3_(0 0 0)_1,0.0
t3_a2b2c3_(0 0 0)_1,0.0216667
t3_a2b2c3_(0 0 0)_1,0.316667
t3_a2b2c3_(0 0 0)_2,0.898333
t3_a2b2c3_(0 0 0)_2,0.7
t3_a2b2c3_(0 0 0)_2,1.0
t3_a2b2c3_(0 0 0)_2,1.0
t3_a2b2c3_(0 0 0)_2,0.903333
t3_a2b2c3_(0 0 0)_2,0.900556
t3_a2b2c3_(0 0 0)_2,0.73
t3_a2b2c3_(0 0 0)_2,0.926667
t3_a2b2c3_(0 0 0)_2,1.0
t3_a2b2c3_(0 0 0)_2,0.986667
t3_a2b2c3_(0 0 0)_2,1.0
t3_a2b2c3_(0 0 0)_2,0.94
t3_a2b2c3_(0 0 0)_2,0.0666667
t3_a2b2c3_(0 0 0)_2,0.852111
t3_a2b2c3_(0 0 0)_2,0.966667
t3_a2b2c3_(0 0 0)_2,1.0
t3_a2b2c3_(0 0 0)_2,0.971667
t3_a2b2c3_(0 0 0)_2,0.763333
t3_a1b3c3_(0 0 0)_0,0.198333
t3_a1b3c3_(0 0 0)_0,0.0
t3_a1b3c3_(0 0 0)_0,0.0
t3_a1b3c3_(0 0 0)_0,0.0372222
t3_a1b3c3_(0 0 0)_0,0.906667
t3_a1b3c3_(0 0 0)_0,0.1
t3_a1b3c3_(0 0 0)_0,0.343333
t3_a1b3c3_(0 0 0)_0,0.0538889
t3_a1b3c3_(0 0 0)_0,0.263333
t3_a1b3c3_(0 0 0)_0,0.0866667
t3_a1b3c3_(0 0 0)_0,0.373333
t3_a1b3c3_(0 0 0)_0,0.365
t3_a1b3c3_(0 0 0)_0,0.375444
t3_a1b3c3_(0 0 0)_0,0.0
t3_a1b3c3_(0 0 0)_0,0.0283333
t3_a1b3c3_(0 0 0)_0,0.0
t3_a1b3c3_(0 0 0)_0,0.03
t3_a1b3c3_(0 0 0)_0,0.0405556
t3_a1b3c3_(0 0 0)_1,0.921667
t3_a1b3c3_(0 0 0)_1,1.0
t3_a1b3c3_(0 0 0)_1,1.0
t3_a1b3c3_(0 0 0)_1,0.900556
t3_a1b3c3_(0 0 0)_1,0.496667
t3_a1b3c3_(0 0 0)_1,0.916667
t3_a1b3c3_(0 0 0)_1,0.903333
t3_a1b3c3_(0 0 0)_1,0.973889
t3_a1b3c3_(0 0 0)_1,0.71
t3_a1b3c3_(0 0 0)_1,0.72
t3_a1b3c3_(0 0 0)_1,0.35
t3_a1b3c3_(0 0 0)_1,0.571667
t3_a1b3c3_(0 0 0)_1,0.818778
t3_a1b3c3_(0 0 0)_1,0.771279
t3_a1b3c3_(0 0 0)_1,0.821667
t3_a1b3c3_(0 0 0)_1,1.0
t3_a1b3c3_(0 0 0)_1,0.91
t3_a1b3c3_(0 0 0)_1,0.867222
t3_a1b3c3_(0 0 0)_2,0.781667
t3_a1b3c3_(0 0 0)_2,1.0
t3_a1b3c3_(0 0 0)_2,1.0
t3_a1b3c3_(0 0 0)_2,0.917222
t3_a1b3c3_(0 0 0)_2,0.876667
t3_a1b3c3_(0 0 0)_2,1.0
t3_a1b3c3_(0 0 0)_2,0.76
t3_a1b3c3_(0 0 0)_2,0.920556
t3_a1b3c3_(0 0 0)_2,0.696667
t3_a1b3c3_(0 0 0)_2,0.726667
t3_a1b3c3_(0 0 0)_2,0.0733333
t3_a1b3c3_(0 0 0)_2,0.721667
t3_a1b3c3_(0 0 0)_2,0.795444
t3_a1b3c3_(0 0 0)_2,0.709763
t3_a1b3c3_(0 0 0)_2,0.828333
t3_a1b3c3_(0 0 0)_2,0.992778
t3_a1b3c3_(0 0 0)_2,0.97
t3_a1b3c3_(0 0 0)_2,0.863889
t3_a2b1c3_(0 0 0)_0,0.315
t3_a2b1c3_(0 0 0)_0,0.0
t3_a2b1c3_(0 0 0)_0,0.0
t3_a2b1c3_(0 0 0)_0,0.0
t3_a2b1c3_(0 0 0)_0,0.121667
t3_a2b1c3_(0 0 0)_0,0.0938889
t3_a2b1c3_(0 0 0)_0,1.0
t3_a2b1c3_(0 0 0)_0,0.48
t3_a2b1c3_(0 0 0)_0,0.0
t3_a2b1c3_(0 0 0)_0,0.52
t3_a2b1c3_(0 0 0)_0,0.486667
t3_a2b1c3_(0 0 0)_0,0.225556
t3_a2b1c3_(0 0 0)_0,0.138333
t3_a2b1c3_(0 0 0)_0,0.492267
t3_a2b1c3_(0 0 0)_0,0.253333
t3_a2b1c3_(0 0 0)_0,0.13
t3_a2b1c3_(0 0 0)_0,0.525444
t3_a2b1c3_(0 0 0)_0,0.663333
t3_a2b1c3_(0 0 0)_0,0.0405556
t3_a2b1c3_(0 0 0)_1,0.288333
t3_a2b1c3_(0 0 0)_1,0.0
t3_a2b1c3_(0 0 0)_1,0.0
t3_a2b1c3_(0 0 0)_1,0.0
t3_a2b1c3_(0 0 0)_1,0.145
t3_a2b1c3_(0 0 0)_1,0.063889
t3_a2b1c3_(0 0 0)_1,1.0
t3_a2b1c3_(0 0 0)_1,0.513333
t3_a2b1c3_(0 0 0)_1,0.06
t3_a2b1c3_(0 0 0)_1,0.51
t3_a2b1c3_(0 0 0)_1,0.53
t3_a2b1c3_(0 0 0)_1,0.242222
t3_a2b1c3_(0 0 0)_1,0.0483333
